VR000809,11.180,377978,BAU - FACCHINI,TRUE,ENTREGUE,ADM TRANSPORTES E LOGISTICA LTDA,CLIENTE,P,PAGO,NÃO TEM,,19/01/2026,714245,LUIZ CARLOS,10/03/2026,16:00,,CORTESIA,380097,"CLIMATIZADOR, INSUFILME, CHINIL, TAPETES E PISTOLA DE AR",,,,,,,,,,,,,,,,,
VR000853,11.180,377965,BAU - FACCHINI,TRUE,ENTREGUE,ADM TRANSPORTES E LOGISTICA LTDA,CLIENTE,P,PAGO,NÃO TEM,,19/01/2026,714246,LUIZ CARLOS,10/03/2026,16:00,,CORTESIA,380096,"CLIMATIZADOR, INSUFILME, CHINIL, TAPETES E PISTOLA DE AR",,,,,,,,,,,,,,,,,
VR000932,11.180,377957,BAU - FACCHINI,TRUE,ENTREGUE,ADM TRANSPORTES E LOGISTICA LTDA,CLIENTE,P,PAGO,NÃO TEM,,19/01/2026,714247,LUIZ CARLOS,09/03/2026,16:00,,CORTESIA,377958,"CLIMATIZADOR, INSUFILME, CHINIL, TAPETES E PISTOLA DE AR",,,,,,,,,,,,,,,,,
TR010370,11.180,371931,NENHUM,FALSE,ENTREGUE,ADN COMERCIO E TRANSPORTE LTDA,CLIENTE,OS.,PAGO,NÃO TEM,JRV - 29/09,26/09/2025,1001922,CARLOS,,,,"R$ 2.000,00",371891,"TAPETE, CHINIL, MANGUEIRA DE SOPRAR E INSUFILME",,,,,,,,,,,,,,,,,
TR026694,30.320,,NENHUM,FALSE,ENTREGUE,AERO GAS LTDA ,CLIENTE,N,PAGO,NÃO TEM,,30/12/2025,1017079,MARIANA,ITUMBIARA,,,,,,,,,,,,,,,,,,,,,,
SR037146,17.230 OD,365100,NENHUM,FALSE,ENTREGUE,AGM CAETANO LTDA,CLIENTE,NÃO,PAGO,REALIZADA,,26/05/2025,979393,FRANK,28/05/2025,10:00,,,,,,,,,,,,,,,,,,,,,
TR005831,17.260 OD,364948,NENHUM,FALSE,ENTREGUE,AGM CAETANO LTDA,CLIENTE,NÃO,PAGO,TEM,,23/05/2025,979250,FRANK,23/05/2025,16:00,,,,,,,,,,,,,,,,,,,,,
SR036513,17.260 OD,364992,NENHUM,FALSE,ENTREGUE,AGM CAETANO LTDA,CLIENTE,NÃO,PAGO,REALIZADA,,23/05/2025,979247,FRANK,23/05/2025,16:00,,,,,,,,,,,,,,,,,,,,,
TR006274,17.260 OD,365020,NENHUM,FALSE,ENTREGUE,AGM CAETANO LTDA,CLIENTE,NÃO,PAGO,REALIZADA,,23/05/2025,979251,FRANK,23/05/2025,16:00,,,,,,,,,,,,,,,,,,,,,
TR015042,11.180 OD,372170,NENHUM,FALSE,ENTREGUE,AGM CAETANO LTDA,CLIENTE,NÃO,PAGO,NÃO TEM,,17/10/2025,1005478,GUSTAVO,17/10/2025,14:00,,,,,,,,,,,,,,,,,,,,,
TR015598,11.180 OD,372168,NENHUM,FALSE,ENTREGUE,AGM CAETANO LTDA,CLIENTE,NÃO,PAGO,NÃO TEM,,17/10/2025,1005488,GUSTAVO,23/10/2025,16:00,,,,,,,,,,,,,,,,,,,,,
TR017945,11.180 OD,372365,NENHUM,FALSE,ENTREGUE,AGM CAETANO LTDA,CLIENTE,NÃO,PAGO,NÃO TEM,,17/10/2025,1005477,GUSTAVO,23/10/2025,16:00,,,,,,,,,,,,,,,,,,,,,
SR034126,17.260 OD,361040,NENHUM,FALSE,ENTREGUE,AGM CAETANO LTDA,CLIENTE,NÃO,PAGO,REALIZADA,,08/04/2025,971362,FRANK,FOI ENTREGUE DIRETO NO CLIENTE,,,,,,,,,,,,,,,,,,,,,,
SR034532,17.260 OD,361528,NENHUM,FALSE,ENTREGUE,AGM CAETANO LTDA,CLIENTE,NÃO,PAGO,REALIZADA,,08/04/2025,971361,FRANK,FOI ENTREGUE DIRETO NO CLIENTE,,,,,,,,,,,,,,,,,,,,,,
SR034130,17.260 OD,361041,NENHUM,FALSE,ENTREGUE,AGM CAETANO LTDA,CLIENTE,NÃO,PAGO,REALIZADA,,08/04/2025,971358,FRANK,FOI ENTREGUE DIRETO NO CLIENTE,,,,,,,,,,,,,,,,,,,,,,
SR034973,17.260 OD,361233,NENHUM,FALSE,ENTREGUE,AGM CAETANO LTDA,CLIENTE,NÃO,PAGO,REALIZADA,,08/04/2025,971359,FRANK,FOI ENTREGUE DIRETO NO CLIENTE,,,,,,,,,,,,,,,,,,,,,,
SR032459,17.230 OD,361527,NENHUM,FALSE,ENTREGUE,AGM CAETANO LTDA,CLIENTE,NÃO,PAGO,REALIZADA,,08/04/2025,971363,FRANK,FOI ENTREGUE DIRETO NO CLIENTE,,,,,,,,,,,,,,,,,,,,,,
SR034981,17.260 OD,361234,NENHUM,FALSE,ENTREGUE,AGM CAETANO LTDA,CLIENTE,NÃO,PAGO,REALIZADA,,08/04/2025,971360,FRANK,FOI ENTREGUE DIRETO NO CLIENTE,,,,,,,,,,,,,,,,,,,,,,
SR039963,11.180 OD,362018,NENHUM,FALSE,ENTREGUE,AGM CAETANO LTDA,CLIENTE,NÃO,PAGO,NÃO TEM,,08/04/2025,971399,FRANK,FOI ENTREGUE DIRETO NO CLIENTE,,,,,,,,,,,,,,,,,,,,,,
SR039361,11.180 OD,361786,NENHUM,FALSE,ENTREGUE,AGM CAETANO LTDA,CLIENTE,NÃO,PAGO,NÃO TEM,,08/04/2025,971397,FRANK,FOI ENTREGUE DIRETO NO CLIENTE,,,,,,,,,,,,,,,,,,,,,,
SR032557,17.230 OD,361530,NENHUM,FALSE,ENTREGUE,AGM CAETANO LTDA,CLIENTE,NÃO,PAGO,REALIZADA,,08/04/2025,971364,FRANK,FOI ENTREGUE DIRETO NO CLIENTE,,,,,,,,,,,,,,,,,,,,,,
SR034269,11.180 OD,360003,NENHUM,FALSE,ENTREGUE,AGM CAETANO LTDA,CLIENTE,NÃO,PAGO,NÃO TEM,,08/04/2025,971354,FRANK,FOI ENTREGUE DIRETO NO CLIENTE,,,,,,,,,,,,,,,,,,,,,,
SR023352,11.180 OD,360005,NENHUM,FALSE,ENTREGUE,AGM CAETANO LTDA,CLIENTE,NÃO,PAGO,NÃO TEM,,08/04/2025,971357,FRANK,FOI ENTREGUE DIRETO NO CLIENTE,,,,,,,,,,,,,,,,,,,,,,
SR023346,11.180 OD,360004,NENHUM,FALSE,ENTREGUE,AGM CAETANO LTDA,CLIENTE,NÃO,PAGO,NÃO TEM,,08/04/2025,971356,FRANK,FOI ENTREGUE DIRETO NO CLIENTE,,,,,,,,,,,,,,,,,,,,,,
SR028045,17.230 OD,363137,NENHUM,FALSE,ENTREGUE,AGM CAETANO LTDA,CLIENTE,NÃO,PAGO,REALIZADA,,08/04/2025,971404,FRANK,FOI ENTREGUE DIRETO NO CLIENTE,,,,,,,,,,,,,,,,,,,,,,
SR027906,17.230 OD,363273,NENHUM,FALSE,ENTREGUE,AGM CAETANO LTDA,CLIENTE,NÃO,PAGO,REALIZADA,,08/04/2025,971403,FRANK,FOI ENTREGUE DIRETO NO CLIENTE,,,,,,,,,,,,,,,,,,,,,,
SR027890,17.230 OD,,NENHUM,FALSE,ENTREGUE,AGM CAETANO LTDA,CLIENTE,NÃO,PAGO,REALIZADA,,08/04/2025,971402,FRANK,FOI ENTREGUE DIRETO NO CLIENTE,,,,,,,,,,,,,,,,,,,,,,
SR039472,11.180 OD,362017,NENHUM,FALSE,ENTREGUE,AGM CAETANO LTDA,CLIENTE,NÃO,PAGO,NÃO TEM,,08/04/2025,971400,FRANK,,,,,,,,,,,,,,,,,,,,,,,
TR014604,11.180OD,376412,NENHUM,FALSE,ENTREGUE,AGM CAETANO LTDA,CLIENTE,N,PAGO,NÃO TEM,,,,GUSTAVO,,,,,,,,,,,,,,,,,,,,,,,
TR009100,18.260,363826,NENHUM,FALSE,ENTREGUE,AGROFORTE PRODUTOS AGROPECUARIOS LTDA,CLIENTE,NÃO,PAGO,NÃO TEM,,23/04/2025,973676,LUIZ CLAUDIO,27/05/2025,08:00,,"R$ 1.500,00",,"TAPETE, CHINIL BANCO E PAINEL, SOPRADOR",,,,,,,,,,,,,,,,,
SR041407,9.180 OD,365631,NENHUM,FALSE,ENTREGUE,AGROPARANA LTDA,CLIENTE,NÃO,PAGO,NÃO TEM,,18/6/2025,983919,PAULO,01/07/2025,08:00,,,,,,,,,,,,,,,,,,,,,
VR003601,27.320,,,,ENTREGUE,AGROPECUARIA FAZENDA VEREDAS LTDA,CLIENTE,,,12/05/2026,1039076,PAULO,PAGO,,381598,,,,,,,,,,,,,,,,,,,,,,
TR002879,27.260,365674,NENHUM,FALSE,ENTREGUE,AGROPECUARIA IPUA LTDA,CLIENTE,NÃO,PAGO,NÃO TEM,,29/05/2025,980396,LUIZ CLAUDIO,10/06/2025,08:00,,"R$ 1.500,00",,"TAPETE, CHINIL, SOPRADOR E INFUSILME",,,,,,,,,,,,,,,,,
TR013955,26.320,372667,NENHUM,FALSE,ENTREGUE,AGROPECUARIA NOAH LTDA,CLIENTE,NÃO,PAGO,NÃO TEM,,17/10/2025,1005580,JORGE,29/10/2025,16:00,,,,,,,,,,,,,,,,,,,,,
SR025640,26.260,359625,NENHUM,FALSE,ENTREGUE,AGROQUIMA PRODUTOS AGROPECUARIOS LTDA,CLIENTE,NÃO,PAGO,NÃO TEM,,31/01/2025,,ENEIAS,23/04/2025,14:00,,,,,,,,,,,,,,,,,,,,,
SR032989,26.320,359791,NENHUM,FALSE,ENTREGUE,AGROQUIMA PRODUTOS AGROPECUARIOS LTDA,CLIENTE,NÃO,PAGO,NÃO TEM,,31/01/2025,,ENEIAS,19/05/2025,16:00,,,,,,,,,,,,,,,,,,,,,
TR011385,9.180,374392,BAU - JRV,TRUE,ENTREGUE,AGUA NA BOCA SERVICOS LTDA - FALTANDO CHINIL BANCO,CLIENTE,P,PAGO,NÃO TEM,,19/12/2025,1016074,RUI,31/01/2026,10:00,,"R$ 2.000,00",376418,"INSUFILME, CHINIL, MANGUEIRA DE SOPRAR, VINIL",,,,,,,,,,,,,,,,,
TR029164,9.180,375161,BAU - JRV,TRUE,ENTREGUE,AIALA EVENTOS LTDA ,CLIENTE,OS.,PAGO,NÃO TEM,,17/12/2025,1015471,CARLOS,24/12/2025,10:00,,"R$ 1.500,00",375122,"TEPETE VINIL, CHINIL, MANGUEIRA E INSUFILME",,,,,,,,,,,,,,,,,
TR005515,9.180,,,,ENTREGUE,AJEL MATERIAIS ELETRICOS LTDA,CLIENTE,,,28/05/2026,1041998,JORGE,PAGO,OK,382650,NÃO TEM,"R$ 5.000,00","VINIL, MOEDA, CHINIL, MANGUEIRA DE SOPRAR, CALHA E INSUFILME",,,,,,,,,,,,,,,,,,,
RR071230,11.180,353913,NENHUM,FALSE,ENTREGUE,ALAN CARLOS CARVALHO FERNANDES - FALTANDO VINIL,CLIENTE,P,PAGO,NÃO TEM,,28/01/2026,1021651,DOUGLAS,13/02/2026,16:00,,"R$ 980,00",377157,"VINIL, INSUFILME E MANGUEIRA DE SOPRAR",,,,,,,,,,,,,,,,,
TR029221,13.180,376877,BAU - JRV,TRUE,ENTREGUE,ALB TRANSPORTE E LOGISTICA LTDA,CLIENTE,P,PAGO,NÃO TEM,,21/01/2026,1020399,DOUGLAS,09/02/2026,09:00,,"R$ 8.500,00",376252,DEFLETOR E SOFA CAMA,,,,,,,,,,,,,,,,,
TR029194,13.180,376210,BAU - JRV,TRUE,ENTREGUE,ALB TRANSPORTE E LOGISTICA LTDA,CLIENTE,P,PAGO,NÃO TEM,,21/01/2026,1020403,DOUGLAS,14/02/2026,10:00,,"R$ 8.500,00",376253,DEFLETOR E SOFA CAMA,,,,,,,,,,,,,,,,,
TR013161,26.260,365457,NENHUM,FALSE,ENTREGUE,ALFA LEATHER IND E COMERCIO LTDA,CLIENTE,NÃO,PAGO,NÃO TEM,,19/05/2025,688521,EURIPEDES,10/06/2025,14:00,,,,,,,,,,,,,,,,,,,,,
TR013237,26.260,365458,NENHUM,FALSE,ENTREGUE,ALFA LEATHER IND E COMERCIO LTDA,CLIENTE,NÃO,PAGO,NÃO TEM,,19/05/2025,688522,EURIPEDES,10/06/2025,14:00,,,,,,,,,,,,,,,,,,,,,
TR004766,26.260,365459,NENHUM,FALSE,ENTREGUE,ALFA LEATHER IND E COMERCIO LTDA,CLIENTE,NÃO,PAGO,NÃO TEM,,21/5/2025,688759,EURIPEDES,10/06/2025,16:00,,,,,,,,,,,,,,,,,,,,,
TR013965,26.260,365460,NENHUM,FALSE,ENTREGUE,ALFA LEATHER IND E COMERCIO LTDA,CLIENTE,NÃO,PAGO,NÃO TEM,,21/5/2025,688760,EURIPEDES,10/06/2025,16:00,,,,,,,,,,,,,,,,,,,,,
TR023995,26.260,370986,NENHUM,FALSE,ENTREGUE,ALFA LEATHER INDUSTRIA E COMERCIO LTDA,CLIENTE,NÃO,PAGO,NÃO TEM,,25/08/2025,699256,EURIPEDES,,,,,,,,,,,,,,,,,,,,,,,
TR023301,26.260,370985,NENHUM,FALSE,ENTREGUE,ALFA LEATHER INDUSTRIA E COMERCIO LTDA,CLIENTE,NÃO,PAGO,NÃO TEM,,25/08/2025,699251,EURIPEDES,,,,,,,,,,,,,,,,,,,,,,,
TR023995,26.260,370986,NENHUM,FALSE,ENTREGUE,ALFA LEATHER INDUSTRIA E COMERCIO LTDA,CLIENTE,NÃO,PAGO,NÃO TEM,,25/08/2025,699256,EURIPEDES,22/09/2025,09:00,,,,,,,,,,,,,,,,,,,,,
TR023301,26.260,370985,NENHUM,FALSE,ENTREGUE,ALFA LEATHER INDUSTRIA E COMERCIO LTDA,CLIENTE,NÃO,PAGO,NÃO TEM,,25/08/2025,699251,EURIPEDES,22/09/2025,09:00,,,,,,,,,,,,,,,,,,,,,
TR021983,18.210,379600,NENHUM,FALSE,ENTREGUE,ALIANCA EXPRESS LOGISTICA LTDA,CLIENTE,P,PAGO,NÃO TEM,,23/03/2026,1030799,PAULO,25/04/2026,09:00,,EXTERNO,379203,"DEFLETOR, PORTA CHINELO E QUEBRA SOL",,,,,,,,,,,,,,,,,
TR023505,25.480,372994,NENHUM,FALSE,ENTREGUE,ALIANCA EXPRESS LOGISTICA LTDA,CLIENTE,P,PAGO,,,23/04/2026,1035828,PAULO,30/04/0206,13:30,,"R$ 30.000,00",380607,"RODAS DE ALUMINIO, DEFLETOR CEGONHEIRO, CHINIL, TAPETE VINIL E SOPRADOR",,,,,,,,,,,,,,,,,
VR011148,11.180,379928,NENHUM,FALSE,ENTREGUE,ALL MOTORS SHOPPING CAR LTDA,CLIENTE,N,PAGO,NÃO TEM,,08/04/2026,723002,GUSTAVO,14/04/2026,10:00,,,,,,,,,,,,,,,,,,,,,
VR011105,11.180,379929,NENHUM,FALSE,ENTREGUE,ALL MOTORS SHOPPING CAR LTDA,CLIENTE,N,PAGO,NÃO TEM,,08/04/2026,723001,GUSTAVO,14/04/2026,10:00,,,,,,,,,,,,,,,,,,,,,
SR014666,11.180,356553,NENHUM,FALSE,ENTREGUE,ALL NUTRI ALIMENTOS LTDA ,CLIENTE,NÃO,PAGO,NÃO TEM,FACCHINI - 16/10,26/11/2024,,JORGE,12/11/2025,13:30,,,,,,,,,,,,,,,,,,,,,
TR005549,27.260,364808,NENHUM,FALSE,ENTREGUE,ALUCAR GUINDASTES LTDA,CLIENTE,NÃO,PAGO,NÃO TEM,,28/04/2025,686184,DOUGLAS,22/05/2025,10:00,,,,,,,,,,,,,,,,,,,,,
TR004055,EXPRESS,372631,NENHUM,FALSE,ENTREGUE,ALVES ARAUJO COMERCIO LTDA ,CLIENTE,NÃO,PAGO,NÃO TEM,,27/10/2025,1006727,JORGE,,,,,,,,,,,,,,,,,,,,,,,
SR017767,30.320,363667,NENHUM,FALSE,ENTREGUE,AMIL DESENTUPIDORA E DEDETIZADORA LTDA,CLIENTE,NÃO,PAGO,NÃO TEM,,05/06/2025,981645,CARLOS,12/06/2025,16:00,,"R$ 7.000,00",,"TAPETE, CHINIL B e P, MANGUEIRA DE SOPRAR, INSUFILME e PARAMETRIZAÇÃO",,,,,,,,,,,,,,,,,
TR012079,18.210,365932,NENHUM,FALSE,ENTREGUE,ANAPOLIS EXPRESS LTDA - AVARIADO NO PARACHOQUE,CLIENTE,OK,PAGO,NÃO TEM,VAI FAZER NO ASSENTAMENTO,20/05/2025,978382,CARLOS,16/06/2025,10:00,,"R$ 2.000,00",365993,"TAPETE, CHINIL B e P, MANGUEIRA DE SOPRAR, INSUFILME",,,,,,,,,,,,,,,,,
VR001339,11.180,378558,NENHUM,FALSE,ENTREGUE,ANAS TRANSPORTES LTDA,CLIENTE,A,PAGO,NÃO TEM,,06/03/2026,1028120,DOUGLAS,18/03/26,16:00,,"R$ 2.000,00",380543,"TAPETE VINIL, CHINIL BANCO E PAINEL, INSUFILME e MANGUEIRA DE SOPRAR",,,,,,,,,,,,,,,,,
TR029063,13.180,376055,OUTRO,TRUE,ENTREGUE,ARAXAM GAS COM E TRANSPORTE LTDA ,CLIENTE,P,PAGO,NÃO TEM,,29/01/2026,1019745,JORGE,07/03/2026,09:00,,"R$ 5.000,00",376063,"INSUFILME, VINIL, MOEDA, MANGUEIRA DE SOPRAR, CALHA E CHINIL",,,,,,,,,,,,,,,,,
TR031772,11.180,377317,BAU - JRV,TRUE,ENTREGUE,ARBORETHO IMPORTS LTDA,CLIENTE,N,PAGO,NÃO TEM,,27/01/2026,1021273,JORGE,23/02/2026,09:00,,,,,,,,,,,,,,,,,,,,,
TR031526,26.260,378152,NENHUM,FALSE,ENTREGUE,ARBORETHO IMPORTS LTDA,CLIENTE,N,PAGO,NÃO TEM,,29/01/2026,1021793,JORGE,11/03/2026,16:00,,,,,,,,,,,,,,,,,,,,,
TR200200,29.530,362337,NENHUM,FALSE,ENTREGUE,ART GESSO MAT PARA CONSTRUCAO LTDA,CLIENTE,NÃO,PAGO,TEM,,21/03/2025,,EURIPEDES,10/04/2025,08:00,,,,,,,,,,,,,,,,,,,,,
TR003195,11.180,368508,NENHUM,FALSE,ENTREGUE,ART GESSO MATERIAIS PARA CONSTRUCAO LTDA,CLIENTE,OK,PAGO,NÃO TEM,FLASH - 12/08,21/07/2025,989561,EURIPEDES,19/08/2025,09:00,,"R$ 5.000,00",368559,"TAPETES, CHINIL BANCO E PAINEL, MANGUEIRA DE SOPRAR, INSUFILME E CALHA DE CHUVA",,,,,,,,,,,,,,,,,
TR005602,26.320,371874,NENHUM,FALSE,ENTREGUE,ART GESSO MATERIAIS PARA CONSTRUCAO LTDA,CLIENTE,OK,PAGO,NÃO TEM,FLASH - 09/10,29/09/2025,1002096,EURIPEDES,,,,"R$ 5.000,00",371876,"TAPETES, CHINIL, MANGUEIRA DE SOPRAR, INSUFILME E CALHA DE CHUVA.",,,,,,,,,,,,,,,,,
TR018377,31.320,379274,NENHUM,FALSE,ENTREGUE,ARTEFATOS DE CIMENTO FARIA LTDA,CLIENTE,N,PAGO,,,24/03/2026,1030912,GUSTAVO,30/03/26,,,,,,,,,,,,,,,,,,,,,,
TR029975,11.180,374342,NENHUM,FALSE,ENTREGUE,ARTIAGA E CARNEIRO LTDA - BAU,CLIENTE,OK,PAGO,NÃO TEM,,28/11/2025,1012722,CARLOS,10/12/2025,09:00,,"R$ 2.000,00",374343,"Tapete, mangueira de soprar chinil bancos e painel e insulfilme",,,,,,,,,,,,,,,,,
TR034761,30.320,379943,NENHUM,FALSE,ENTREGUE,ATACADISTA POPULAR DISTRIBUIDORA LTDA,CLIENTE,P,PAGO,NÃO TEM,,30/03/2026,1031992,MARIANA,14/04/2026,13:30,,EXTERNO,379663,"INSUFILME, CLIMATIZADOR, CORTINA E TAPA ESTRIBO 1 DEGRAU",,,,,,,,,,,,,,,,,
SR022693,26.320,354231,NENHUM,FALSE,ENTREGUE,ATIVA EXPRESS GOIAS LTDA,CLIENTE,NÃO,PAGO,REALIZADA,,24/06/2025,984780,PAULO,30/06/0205,16:00,,,,,,,,,,,,,,,,,,,,,
TR023758,9.180,381462,NENHUM,FALSE,ENTREGUE,AURUM TRANSPORTES E LOGISTICA LTDA,CLIENTE,N,PAGO,NÃO TEM,,08/05/2026,1038584,EURIPEDES,15/05/26,,,,,,,,,,,,,,,,,,,,,,
SR023935,30.320,353176,NENHUM,FALSE,ENTREGUE,AUTO ELETRICA HT E PECAS LTDA ,CLIENTE,NÃO,PAGO,REALIZADA,,19/05/2025,978116,PAULO,16/06/2025,14:00,,"R$ 5.000,00",,"CHINIL BANCO E PAINEL, TAPETE VERNIZ e TAPETE, MANGUEIRA DE SOPRAR, INSUFILME E GEOMETRIA ENTRE EIXOS",,,,,,,,,,,,,,,,,
TR034921,30.320,377076,NENHUM,FALSE,ENTREGUE,AUTO POSTO AEROVIARIO LTDA,CLIENTE,P,PAGO,NÃO TEM,,29/01/2026,1021744,CRISTIANO,04/05/2026,16:00,,CORTESIA,377028,"INSUFILME, TAPETE VINIL E CHINIL ",,,,,,,,,,,,,,,,,
SR025709,30.320,364410,NENHUM,FALSE,ENTREGUE,AUTO POSTO ENTRE TREVOS LTDA,CLIENTE,NÃO,PAGO,REALIZADA,,29/01/2025,,LUIZ CLAUDIO,26/05/2025,08:00,,,,"TAPETE, CHINIL, SOPRADOR E CORTINA",,,,,,,,,,,,,,,,,
VR012080,26.320,380876,NENHUM,FALSE,ENTREGUE,AUTO POSTO JABUTI RQ LTDA,CLIENTE,N,PAGO,NÃO TEM,,15/04/2026,1034692,MARIANA,30/04/2026,16:00,,,,,,,,,,,,,,,,,,,,,
SR006296,25480,361900,NENHUM,FALSE,ENTREGUE,AUTO POSTO JARDIM PRESIDENTE LTDA,CLIENTE,NÃO,PAGO,REALIZADA,,,,LUIZ CLAUDIO,01/07/0205,16:00,,,,,,,,,,,,,,,,,,,,,
TR021735,30.320,378927,NENHUM,FALSE,ENTREGUE,AUTO SOCORRO CAMPO ALEGRE LTDA,CLIENTE,P,PAGO,NÃO TEM,,20/03/2026,1031577,LUIZ CLAUDIO,,,,"R$ 8.000,00",378928,"PARAMETRIZAÇÃO, VERNIZ, CHINIL E SOPRADOR",,,,,,,,,,,,,,,,,
TR032221,9.180,,,,ENTREGUE,AVS TRANSPORTES CARGAS ENCOMENDAS E VENDAS DE PASSAGENS LTDA,CLIENTE,,,21/05/2026,1040748,JOSUE,PAGO,OK,382325,NÃO TEM,"R$ 5.000,00","INSUFILME, TAPETES, MANGUEIRA DE SOPRAR - TRAVAR R$ 850,00 P/ EMPLACAMENTO",,,,,,,,,,,,,,,,,,,
TR005549,11.180,362900,NENHUM,FALSE,ENTREGUE,BAKEN CONSTRUTORA LTDA,CLIENTE,NÃO,PAGO,NÃO TEM,,01/04/2025,,PAULO,16/05/2025,16:00,,"R$ 5.000,00",,"CHINIL BANCO E PAINEL, TAPETE VERNIZ, MANGUEIRA DE SOPRAR, ",,,,,,,,,,,,,,,,,
TR007442,11.180,364171,NENHUM,FALSE,ENTREGUE,BAKEN CONSTRUTORA LTDA,CLIENTE,NÃO,PAGO,NÃO TEM,,19/05/2025,978109,PAULO,13/06/2025,10:00,,"R$ 5.000,00",,"CHINIL BANCO E PAINEL, TAPETE VERNIZ e TAPETE, MANGUEIRA DE SOPRAR e SIRENE DE RÉ",,,,,,,,,,,,,,,,,
VR007079,EXPRESS,381020,NENHUM,FALSE,ENTREGUE,BAKEN CONSTRUTORA LTDA,CLIENTE,P,PAGO,NÃO TEM,FACCHINI - 22/04/2026,15/04/2026,1034803,PAULO,08/05/2026,13:30,,"R$ 5.000,00",381018,"CHINIL BANCO E PAINEL, TAPETE VERNIZ e TAPETE, MANGUEIRA DE SOPRAR e SIRENE DE RÉ",,,,,,,,,,,,,,,,,
VR002775,11.180,380992,NENHUM,FALSE,ENTREGUE,BAKEN CONSTRUTORA LTDA,CLIENTE,P,PAGO,NÃO TEM,,15/04/2026,1034813,PAULO,08/05/2026,13:30,,"R$ 5.000,00",380867,"CHINIL BANCO E PAINEL, TAPETE VERNIZ e TAPETE, MANGUEIRA DE SOPRAR e SIRENE DE RÉ",,,,,,,,,,,,,,,,,
